synset_id,"synset_word",anto_state_id,"anto_state_word"
64,"दयालुता",2638,"निर्दयता"
80,"छोटा भाई",82,"बड़ा भाई"
80,"अनुज",82,"अग्रज"
105,"अनुमति",5788,"अननुमति"
109,"अनुमोदन",111,"प्रतिरोध"
117,"भक्ति",23165,"अभक्ति"
120,"प्रेम",142,"घृणा"
120,"प्यार",142,"नफरत"
133,"कार्य आरंभ",2034,"कार्य समाप्ति"
581,"वरदान",3008,"अभिशाप"
1845,"ध्यानपूर्णता",2863,"ध्यानहीनता"
2087,"मृत्यु",3119,"जन्म"
2120,"अनुपलब्धता",904,"उपलब्धता"
2164,"अंधकार",2037,"प्रकाश"
2165,"अज्ञान",99,"ज्ञान"
2172,"अनैतिकता",1008,"नैतिकता"
2266,"अख्याति",1142,"ख्याति"
2391,"गौरवहीनता",2464,"गौरवपूर्णता"
2393,"उष्णता",6828,"शीतलता"
2447,"जड़ता",784,"चेतनता"
2463,"उत्तमता",1373,"निकृष्टता"
2464,"महानता",2706,"अधमता"
2465,"विशुद्धता",1375,"अविशुद्धता"
2507,"अनभिज्ञता",1431,"भिज्ञता"
2507,"बेख़बरी",1431,"जानकारी"
2508,"मूर्खता",1432,"बुद्धिमत्ता"
2509,"अव्यवहारिकता",1434,"व्यवहारिकता"
2509,"व्यवहार अकुशलता",1434,"व्यवहार कुशलता"
2513,"अपरिज्ञान",1441,"परिज्ञान"
2513,"अपूर्ण जानकारी",1441,"पूर्ण जानकारी"
2514,"आसक्ति",1443,"अनासक्ति"
2514,"अनुरक्ति",1443,"विरक्ति"
2514,"अनुराग",1443,"विराग"
2541,"अटकाना",1474,"न टाँकना"
2635,"अतृप्ति",1601,"तृप्ति"
2635,"असंतुष्टि",1601,"संतुष्टि"
2635,"असंतोष",1601,"संतोष"
2638,"निर्दयता",64,"दयालुता"
2654,"अनभिमान",2996,"अभिमान"
2655,"अप्रवीणता",3388,"प्रवीणता"
2655,"अदक्षता",3388,"दक्षता"
2655,"अकुशलता",3388,"कुशलता"
2655,"अनिपुणता",3388,"निपुणता"
2656,"कलाहीनता",7909,"कलापूर्णता"
2656,"अकलात्मकता",7909,"कलात्मकता"
2664,"अदया",1633,"दया"
2664,"अकृपा",1633,"कृपा"
2676,"दुर्भाग्य",1654,"सौभाग्य"
2676,"बदकिस्मती",1658,"खुशक़िस्मती"
2676,"बदनसीबी",1658,"खुशनसीबी"
2719,"अधार्मिकता",6759,"धार्मिकता"
2719,"धर्महीनता",6759,"धर्मशीलता"
2722,"अधिकता",1562,"कमी"
2722,"बहुलता",1562,"न्यूनता"
2727,"प्रधानता",1696,"अप्रधानता"
2727,"श्रेष्ठता",1696,"गौणता"
2727,"प्रमुखता",1696,"अप्रमुखता"
2727,"प्राथमिकता",1696,"अप्राथमिकता"
2778,"पराधीनता",1766,"स्वाधीनता"
2778,"ग़ुलामी",1766,"आज़ादी"
2778,"परतंत्रता",1766,"स्वतंत्रता"
2834,"अपराधहीनता",1818,"अपराधपूर्णता"
2845,"अनुभवहीनता",1829,"अनुभवपूर्णता"
2863,"ध्यानहीनता",1845,"ध्यानपूर्णता"
2869,"अविद्यमानता",3259,"विद्यमानता"
2870,"दर्पहीनता",1852,"दर्पपूर्णता"
2870,"दंभहीनता",1852,"दंभपूर्णता"
2956,"भयहीनता",2965,"भयपूर्णता"
2956,"निर्भयता",2965,"भयपूर्णता"
2967,"अभावग्रस्तता",2969,"संपन्नता"
3019,"उन्नति",3097,"अवनति"
2979,"अयोग्यता",2734,"योग्यता"
2986,"अव्यवस्था",3289,"व्यवस्था"
2986,"अव्यवस्थितता",3289,"व्यवस्थितता"
142,"घृणा",120,"प्रेम"
142,"नफरत",120,"प्यार"
3119,"जन्म",2087,"मृत्यु"
3097,"अवनति",3019,"उन्नति"
3137,"पदावनति",3418,"पदोन्नति"
3184,"शोकहीनता",903,"शोकपूर्णता"
3509,"अप्रसन्नता",1013,"प्रसन्नता"
3509,"नाख़ुशी",1013,"ख़ुशी"
3509,"नाराज़गी",1013,"ख़ुशी"
3257,"असुविधा",3530,"सुविधा"
3257,"कठिनाई",3530,"आसानी"
3275,"अहिंसा",3298,"हिंसा"
3316,"गुरु",3635,"शिष्य"
3423,"आनंद",1403,"कष्ट"
3447,"प्राचीनता",3655,"आधुनिकता"
3451,"अवैधता",3511,"वैधता"
3451,"अविधिमान्यता",3511,"विधिमान्यता"
3451,"विधिविरुद्धता",3511,"विधिवत्ता"
3459,"कृतज्ञता",3659,"कृतघ्नता"
3459,"एहसानमंदी",3659,"अहसान फ़रामोशी"
3459,"शुक्रगुजारी",3659,"नाशुक्रगुजारी"
3538,"सुख",1403,"दुख"
3530,"सुविधा",3257,"असुविधा"
3530,"आसानी",3257,"कठिनाई"
99,"ज्ञान",2165,"अज्ञान"
3597,"उत्पत्ति",17443,"अनुत्पत्ति"
71,"स्पष्टता",3113,"अस्पष्टता"
67,"शुरुआत",658,"समाप्ति"
68,"नग्नता",15996,"अनग्नता"
68,"नंगापन",15996,"अनंगापन"
74,"प्रतिकूलता",63,"अनुकूलता"
79,"असामंजस्यता",11781,"सामंजस्यता"
82,"बड़ा भाई",80,"छोटा भाई"
82,"अग्रज",80,"अनुज"
106,"स्वीकृति",1468,"अस्वीकृति"
111,"प्रतिरोध",109,"अनुमोदन"
143,"विरक्ति",1106,"अविरक्ति"
151,"आरंभ",3258,"अंत"
170,"कुख्याति",1142,"ख्याति"
181,"अशुभ शकुन",5872,"शुभ शकुन"
257,"हर",1701,"अंश"
445,"क्षमताहीनता",446,"क्षमतापूर्णता"
446,"क्षमतापूर्णता",445,"क्षमताहीनता"
551,"सहमति",566,"असहमति"
566,"असहमति",551,"सहमति"
1633,"दया",2664,"अदया"
658,"समाप्ति",67,"शुरुआत"
679,"पराजय",5624,"जय"
679,"हार",5624,"जीत"
679,"असफलता",5624,"सफलता"
720,"मित्रता",2578,"शत्रुता"
720,"दोस्ती",2578,"दुश्मनी"
720,"मेल",2578,"विरोध"
903,"शोकपूर्णता",3184,"शोकहीनता"
1013,"प्रसन्नता",3509,"अप्रसन्नता"
1013,"ख़ुशी",3509,"नाख़ुशी"
1013,"ख़ुशी",3509,"नाराज़गी"
1091,"शिष्टता",45,"अशिष्टता"
1106,"अविरक्ति",143,"विरक्ति"
1116,"ईर्ष्यापूर्णता",1103,"ईर्ष्याहीनता"
1116,"द्वेषपूर्णता",1103,"द्वेषहीनता"
1103,"ईर्ष्याहीनता",1116,"ईर्ष्यापूर्णता"
1103,"द्वेषहीनता",1116,"द्वेषपूर्णता"
1135,"सुलभता",2259,"असुलभता"
1135,"सुलभता",2259,"दुर्लभता"
1142,"ख्याति",2266,"अख्याति"
1244,"गतिशीलता",1243,"गतिहीनता"
1243,"गतिहीनता",1244,"गतिशीलता"
1341,"असामान्यता",1342,"सामान्यता"
1341,"असाधारणता",1342,"साधारणता"
1342,"सामान्यता",1341,"असामान्यता"
1342,"साधारणता",1341,"असाधारणता"
582,"हित",4565,"अहित"
3173,"अविश्वास",2941,"विश्वास"
1403,"दुख",3538,"सुख"
1425,"रतौंधी",19767,"दिनौंधी"
1431,"अभिज्ञता",2507,"अनभिज्ञता"
1441,"परिज्ञान",2513,"अपरिज्ञान"
1443,"अनासक्ति",2514,"आसक्ति"
1443,"विरक्ति",2514,"अनुरक्ति"
1443,"विराग",2514,"अनुराग"
1460,"शीघ्रता",12834,"विलम्बता"
1468,"अस्वीकृति",106,"स्वीकृति"
1562,"अल्पता",2722,"अधिकता"
1563,"संयम",1584,"असंयम"
1563,"आत्मनियंत्रण",1584,"आत्मनियंत्रणहीनता"
1563,"आत्मनिग्रह",1584,"अनिग्रह"
1584,"असंयम",1563,"संयम"
1584,"आत्मनियंत्रणहीनता",1563,"आत्मनियंत्रण"
1584,"अनिग्रह",1563,"आत्मनिग्रह"
1601,"तृप्ति",2635,"अतृप्ति"
904,"उपलब्धता",2120,"अनुपलब्धता"
1654,"सौभाग्य",2676,"दुर्भाग्य"
1654,"खुशक़िस्मती",2676,"बदकिस्मती"
1654,"खुशनसीबी",2676,"बदनसीबी"
1669,"द्वैतवाद",2695,"अद्वैतवाद"
1677,"उत्तर",7553,"प्रश्न"
1688,"आस्तिकतावाद",1687,"नास्तिकतावाद"
1687,"नास्तिकतावाद",1688,"आस्तिकतावाद"
1696,"अप्रधानता",2727,"प्रधानता"
1689,"महत्वहीनता",4863,"महत्व"
1701,"अंश",257,"हर"
1713,"कुपात्रता",2736,"सुपात्रता"
1732,"प्राप्ति",1731,"अप्राप्ति"
1731,"अप्राप्ति",1732,"प्राप्ति"
1766,"स्वाधीनता",2778,"पराधीनता"
1778,"स्थिरचित्तता",4636,"अस्थिरचित्तता"
