synset_id,"synset_word",anto_action_id,"anto_action_word"
2884,"खड़ा होना",2917,"बैठना"
2884,"उठना",2917,"बैठना"
235,"रोना",4679,"हँसना"
2666,"अप्रसन्न होना",2666,"प्रसन्न होना"
2666,"नाराज़ होना",2666,"ख़ुश होना"
2917,"बैठना",2884,"खड़ा होना"
2152,"खरीदना",7325,"बेचना"
2152,"क्रय करना",7325,"विक्रय करना"
3666,"लेना",6235,"देना"
3666,"ग्रहण करना",6235,"प्रदान करना"
4679,"हँसना",235,"रोना"
8500,"सोना",5464,"जागना"
4704,"आरंभ होना",7431,"अंत होना"
4704,"शुरू होना",7431,"खतम होना"
4704,"प्रारंभ होना",7431,"समाप्त होना"
4704,"शुरूवात होना",7431,"खतम होना"
7325,"बेचना",2152,"खरीदना"
7325,"विक्रय करना",2152,"क्रय करना"
7070,"गाली देना",8243,"प्रशंसा करना"
11588,"जगवाना",20472,"सुलवाना"
9407,"पहनाना",11317,"उतारना"
9613,"बसाना",9754,"महकना"
20472,"सुलवाना",11588,"जगवाना"
