"word",synset_id,"pos"
"શિવાલય",5,"NOUN"
"શિવ_મંદિર",5,"NOUN"
"મહાદેવ",5,"NOUN"
"ઇંદ્રજાલ",33749,"NOUN"
"ઇંદ્ર-જાલ",33749,"NOUN"
"ઇંદ્રદમન",33750,"NOUN"
"ઇંદ્ર-દમન",33750,"NOUN"
"ઇંદ્રત્વ",33752,"NOUN"
"ઇંદ્રધ્વજ",33753,"NOUN"
"ઇંદ્ર-ધ્વજ",33753,"NOUN"
"ઇંદ્રધ્વજ",33754,"NOUN"
"ઇંદ્ર-ધ્વજ",33754,"NOUN"
"ઇંદ્રધ્વજ",33755,"NOUN"
"ઇંદ્ર-ધ્વજ",33755,"NOUN"
"ઇંદ્રપુરી",33756,"NOUN"
"તામરસ",33757,"NOUN"
"ઇંદ્રમંડલ",33758,"NOUN"
"ઇંદ્રભાષ",33759,"NOUN"
"ઇંદ્રવંશા",33760,"NOUN"
"ઇંદ્રલુપ્ત",33761,"NOUN"
"ઉંદરી",33761,"NOUN"
"હાંડલી",33762,"NOUN"
"તામી",33763,"NOUN"
"ઇંદ્રવસ્તિ",33764,"NOUN"
"ઇંદ્રવૃદ્ધ",33765,"NOUN"
"ઇંદ્રવ્રત",33766,"NOUN"
"તામ્રધ્વજ",33767,"NOUN"
"ઇંદ્રસભા",33768,"NOUN"
"ઇંદ્ર-સભા",33768,"NOUN"
"તામ્રજાક્ષ",33769,"NOUN"
"તામ્રપક્ષા",33770,"NOUN"
"ઇંદ્રસભા",33771,"NOUN"
"ઇંદ્ર-સભા",33771,"NOUN"
"ઇંદ્રિય",33772,"NOUN"
"ઇંદ્રિયાર્થવાદ",33774,"NOUN"
"સંવેદનવાદ",33774,"NOUN"
"ઇંદ્રિયાર્થવાદ",33775,"NOUN"
"ભોગવૃત્તિ",33775,"NOUN"
"ઇંદ્રિયવજ્રા",33776,"NOUN"
"ઇંદ્રીજુલાબ",33777,"NOUN"
"ઇંદ્રી-જુલાબ",33777,"NOUN"
"મૂત્રવાહી_ઔષધિ",33777,"NOUN"
"ઇંદ્રીજુલાબ",33778,"NOUN"
"ઇંદ્રી-જુલાબ",33778,"NOUN"
"ઇંધનગૃહ",33779,"NOUN"
"તાર",33780,"NOUN"
"તારવૃત્ત",33780,"NOUN"
"તારક",33780,"NOUN"
"તારક_મંત્ર",33781,"NOUN"
"તારક",33781,"NOUN"
"તારક_બ્રહ્મ",33781,"NOUN"
"ઇકતારા",33782,"NOUN"
"એકતાલ",33783,"NOUN"
"ઇકદામ",33784,"NOUN"
"ઇકપેચા",33785,"NOUN"
"તારણી",33787,"NOUN"
"યાજ",33788,"NOUN"
"યાજ_ઋષિ",33788,"NOUN"
"ઉપયાજ",33789,"NOUN"
"ઉપયાજ_ઋષિ",33789,"NOUN"
"તારાપીડ",33791,"NOUN"
"હાર",33792,"NOUN"
"તાર્ક્ષ્યપ્રસવ",33794,"NOUN"
"તાર્ક્ષ્ય",33794,"NOUN"
"ઇકલાઈ",33795,"NOUN"
"એકવાઇ",33797,"NOUN"
"તૃપા",33799,"NOUN"
"તાર્પ્ય",33800,"NOUN"
"મિશ્ર_અનાજ",33801,"NOUN"
"ઇક્કટ",33802,"NOUN"
"એક્કો",33803,"NOUN"
"ઇક્કો",33803,"NOUN"
"ઇક્કા",33804,"NOUN"
"ઇક્કા",33805,"NOUN"
"ઇક્ષુકાંડ",33806,"NOUN"
"ઇક્ષુદંડ",33806,"NOUN"
"ઇક્ષુમતી",33808,"NOUN"
"ઇક્ષુમતી_નદી",33808,"NOUN"
"પ્રાગ્વંશ",33809,"NOUN"
"ઇક્ષુમાલિની",33810,"NOUN"
"ઇક્ષુમાલવી",33810,"NOUN"
"ઇક્ષુમતી",33810,"NOUN"
"શેરડીરસ",33811,"NOUN"
"ઇક્ષુરસ",33811,"NOUN"
"ક્ષીરવિદારી",33812,"NOUN"
"દૂધવિદારી",33812,"NOUN"
"ઇક્ષુરસવલ્લરી",33812,"NOUN"
"ઇક્ષુરસવલ્લી",33812,"NOUN"
"ધોળું_ભોંયકોળું",33812,"NOUN"
"ઇક્ષુસાર",33813,"NOUN"
"ઇક્ષુ-સાર",33813,"NOUN"
"ઇચ્છાફળ",33815,"NOUN"
"ઇચ્છા-ફળ",33815,"NOUN"
"ઉત્તર",33816,"NOUN"
"ઉત્તર_કુમાર",33816,"NOUN"
"ઉત્તર",33817,"NOUN"
"ઉત્તર",33818,"NOUN"
"ઇચ્છાભોજન",33821,"NOUN"
"ઇજરા",33822,"NOUN"
"ઇજરાય",33823,"NOUN"
"ઇજહાર",33824,"NOUN"
"ઇજરાય",33825,"NOUN"
"ઇજાફત",33826,"NOUN"
"ઝેર",33826,"NOUN"
"ઇટાલિક",33828,"NOUN"
"બડાશ",33831,"NOUN"
"શેખી",33831,"NOUN"
"ડંફાશ",33831,"NOUN"
"ઇડા",33832,"NOUN"
"ઇડા",33833,"NOUN"
"ઇડા",33834,"NOUN"
"ઇડા",33835,"NOUN"
"ઇડા",33836,"NOUN"
"યજ્ઞપાત્ર",33837,"NOUN"
"પવ્ય",33837,"NOUN"
"પ્રયાજ",33838,"NOUN"
"અનુયાજ",33839,"NOUN"
"ઇતરેતરાશ્રય",33841,"NOUN"
"ઇતિવૃત્ત",33845,"NOUN"
"ઇતિવૃત્ત",33846,"NOUN"
"ક્રિમિનલ",33847,"NOUN"
"હિસ્ટરી-શીટર",33847,"NOUN"
"સૂચનાપત્ર",33849,"NOUN"
"સૂચના-પત્ર",33849,"NOUN"
"સૂચના_પત્ર",33849,"NOUN"
"ઇત્તલાનામા",33849,"NOUN"
"ઇત્રીફલ",33851,"NOUN"
