synset_id,"synset_word",derived_from_id,"derived_from_word"
52,NULL,1786,NULL
2102,NULL,107,NULL
2297,NULL,2493,NULL
2824,NULL,3025,NULL
3075,NULL,9144,NULL
53,NULL,3821,NULL
527,NULL,2521,NULL
528,NULL,1450,NULL
529,NULL,2272,NULL
559,NULL,31,NULL
595,NULL,11241,NULL
796,NULL,2378,NULL
1026,NULL,6939,NULL
2147,NULL,6473,NULL
2243,NULL,3050,NULL
2244,NULL,2995,NULL
1121,NULL,2995,NULL
1464,NULL,3444,NULL
2445,NULL,5772,NULL
2624,NULL,3155,NULL
2827,NULL,767,NULL
3640,NULL,1589,NULL
3641,NULL,2623,NULL
4556,NULL,5972,NULL
4557,NULL,4366,NULL
855,NULL,6768,NULL
854,NULL,5866,NULL
5609,NULL,5799,NULL
1241,NULL,2426,NULL
857,NULL,10293,NULL
9882,NULL,269,NULL
8465,NULL,4083,NULL
10435,NULL,3356,NULL
10889,NULL,3468,NULL
11100,NULL,10813,NULL
11105,NULL,5800,NULL
11169,NULL,12313,NULL
11357,NULL,1633,NULL
3726,NULL,3875,NULL
10759,NULL,892,NULL
12064,NULL,6753,NULL
12064,NULL,12925,NULL
12647,NULL,3775,NULL
9058,NULL,2941,NULL
9478,NULL,934,NULL
13807,NULL,658,NULL
13752,NULL,1045,NULL
8992,NULL,1123,NULL
12899,NULL,7983,NULL
12901,NULL,9403,NULL
12924,NULL,6099,NULL
13133,NULL,10952,NULL
9105,NULL,1965,NULL
4663,NULL,4660,NULL
12672,NULL,3942,NULL
11074,NULL,11072,NULL
14619,NULL,187,NULL
14680,NULL,1925,NULL
14680,NULL,9967,NULL
14752,NULL,3366,NULL
16207,NULL,75,NULL
16211,NULL,5413,NULL
13474,NULL,2722,NULL
18059,NULL,1815,NULL
18060,NULL,1815,NULL
18100,NULL,1815,NULL
18100,NULL,1965,NULL
19130,NULL,2597,NULL
