synset_id,"synset_word",anto_quality_id,"anto_quality_word"
2065,"अंडबंड",766,"प्रिय शब्द"
2093,"अंततः",855,"शुरू में"
2094,"अंततः",856,"आरंभिक काल में"
2095,"अंततोगत्वा",857,"स्वेच्छापूर्वक"
2103,"अंतरा",847,"कम"
2296,"अकेले",1172,"प्रकट होते हुए"
2367,"अग्रतः",1267,"पश्चतः"
2812,"अनंतर",1798,"पूर्व काल में"
527,"अस्पष्टतः",528,"स्पष्टतः"
528,"स्पष्टतः",527,"अस्पष्टतः"
529,"असभ्यतः",559,"सभ्यतः"
559,"शिष्टतः",529,"अशिष्टतः"
559,"सभ्यतः",529,"असभ्यतः"
559,"शिष्टाचारपूर्वक",529,"शिष्टाचारहीनतः"
1118,"ईर्ष्यापूर्वक",1117,"ईर्ष्याहीनतः"
1117,"ईर्ष्याहीनतः",1118,"ईर्ष्यापूर्णतः"
1117,"अनसूयतः",1118,"सासूय"
1207,"याचिततः",1208,"अयाचिततः"
1451,"उद्देश्यपूर्वक",1455,"उद्देश्यहीनतः"
1455,"उद्देश्यहीनतः",1451,"उद्देश्यपूर्वक"
2243,"अकारण",7208,"कारणवश"
2243,"कारणहीनतः",7208,"कारणतः"
2244,"प्रयोजनहीनतः",1121,"प्रयोजनतः"
1121,"प्रयोजनतः",2244,"प्रयोजनहीनतः"
