synset_id,"synset_word",anto_quality_id,"anto_quality_word"
22,"अप्रवीण",29,"प्रवीण"
21,"अनुभवहीन",100,"अनुभवी"
23,"अयोग्य",30,"योग्य"
24,"असभ्य",31,"सभ्य"
25,"नौसिखिया",3013,"अभ्यस्त"
26,"फूहड़",6716,"सुघड़"
27,"मूर्ख",1795,"ज्ञानी"
36,"असहाय",41,"ससहाय"
38,"साधनहीन",43,"साधन संपन्न"
100,"अनुभवी",21,"अनुभवहीन"
113,"आसक्त",2249,"अनासक्त"
157,"भिन्न कोटीय",192,"समकोटीय"
164,"मौलिक",140,"अमौलिक"
164,"स्वकृत",140,"अनुकृत"
168,"स्वदेशी",7863,"विदेशी"
169,"स्वपक्षीय",199,"विपक्षीय"
1946,"लिपिबद्ध",1944,"अलिपिबद्ध"
1948,"हस्ताक्षरित",365,"अहस्ताक्षरित"
1996,"अप्रधान",2000,"प्रधान"
1998,"अंगी",529,"निर्जीव"
1999,"अंगी",536,"खलनायक"
2000,"प्रधान",1996,"अप्रधान"
2001,"शरीरी",2252,"अशरीरी"
2001,"सशरीरी",2252,"अशरीरी"
2002,"साकार",1989,"निराकार"
2002,"मूर्तिमान",1989,"अमूर्त"
2039,"असंगत",2923,"संगत"
2040,"क्रमहीन",2562,"क्रमबद्ध"
2112,"असमक्ष",11374,"समक्ष"
2113,"आच्छादित",893,"अनाच्छादित"
2136,"अनश्वर",935,"नश्वर"
2137,"असमाप्य",936,"समाप्य"
2138,"असीम",938,"ससीम"
2141,"वैज्ञानिक",2149,"अवैज्ञानिक"
2150,"भावपूर्ण",21668,"भावहीन"
2150,"मार्मिक",21668,"अमार्मिक"
2150,"भावनात्मक",21668,"अभावनात्मक"
2150,"भावनापूर्ण",21668,"भावनाहीन"
2150,"भावात्मक",21668,"अभावात्मक"
2151,"मानसिक",9166,"शारीरिक"
2160,"अंधा",983,"दृष्टिवान"
2174,"अँधेरा",1013,"प्रसन्नता"
2175,"अंधकारपूर्ण",1667,"प्रकाशपूर्ण"
2212,"अवरोधहीन",1087,"अवरोधपूर्ण"
2213,"कंटकहीन",1088,"कंटकयुक्त"
2214,"शत्रुहीन",716,"शत्रुपूर्ण"
2214,"शत्रुविहीन",716,"सशत्रु"
2219,"अकथनीय",1095,"कथनीय"
2219,"अकथ्य",1095,"कथ्य"
2219,"अव्यक्तव्य",1095,"व्यक्तव्य"
2219,"अवाच्य",1095,"वाच्य"
2220,"अवर्णनीय",1096,"वर्णनीय"
2224,"इंद्रियहीन",1607,"इंद्रिययुक्त"
2225,"अकरण",915,"साकार ईश्वर"
2231,"आलसी",4147,"परिश्रमी"
2231,"सुस्त",4147,"मेहनती"
2232,"प्रारब्धवादी",4146,"कर्तृत्ववादी"
2233,"स्फूर्तिहीन",4832,"स्फूर्तिपूर्ण"
2235,"परिपूर्ण",1113,"अपरिपूर्ण"
2238,"अकल्याण",2889,"कल्याण"
2243,"अकांड",1120,"अकारणवश"
2244,"अकांड",1121,"प्रयोजनतः"
2247,"अखंडनीय",1608,"खंडनीय"
2253,"अनुपयोगी",2451,"उपयोगी"
2255,"लाभहीन",1130,"लाभप्रद"
2258,"अकाल",1133,"सुदिन"
2259,"अकाल",1135,"सुलभता"
2260,"अकाल",1136,"अतिवृष्टि"
2262,"अख्यात",3464,"ख्यात"
2264,"नगण्य",2356,"अग्रगण्य"
2265,"निर्धन",1140,"धनी"
2265,"ग़रीब",1140,"अमीर"
2265,"असमृद्ध",1140,"समृद्ध"
2265,"असंपन्न",1140,"सम्पन्न्"
2265,"विपन्न",1140,"सम्पन्न्"
2271,"अकुलीन",10740,"कुलीन"
2272,"असभ्य",31,"सभ्य"
2272,"अशिष्ट",31,"शिष्ट"
2272,"बदतमीज़",31,"तमीज़दार"
2273,"निम्न वर्णीय",3751,"उच्च वर्णीय"
2279,"दुर्भाग्यशाली",1156,"सौभाग्यशाली"
2280,"असंख्य",1139,"गणनीय"
2286,"अनलंकृत",1163,"अलंकृत"
2287,"छद्महीन",1515,"छद्मपूर्ण"
2288,"स्वाभाविक",1164,"अस्वाभाविक"
2289,"अंतर्मुखी",1165,"बहिर्मुखी"
2289,"अंतराभिमुखी",1165,"बहिरभिमुखी"
2293,"निर्जन",1291,"आबाद"
2294,"परिवारहीन",10741,"परिवारयुक्त"
2295,"मित्रहीन",1171,"मित्रवान्"
2298,"कलहप्रिय",8056,"शांतिप्रिय"
2298,"झगड़ालू",8056,"शांतिप्रिय"
2298,"खुराफ़ाती",8056,"अमनपसंद"
2312,"अनाहत",1189,"आहत"
2312,"अक्षत",1189,"क्षत"
2313,"अभंजित",4588,"भंजित"
2313,"अखंडित",4588,"खंडित"
2316,"अपरिवर्तनशील",1193,"परिवर्तनशील"
2334,"अनाहार्य",1228,"आहार्य"
2334,"अखाद्य",1228,"खाद्य"
2334,"अभोज्य",1228,"भोज्य"
2334,"अभक्ष्य",1228,"भक्ष्य"
2334,"अग्राह्य",1228,"ग्राह्य"
2335,"अशौच",1229,"शौच"
2339,"अप्रतिष्ठित",2356,"प्रतिष्ठित"
2345,"अगति",1246,"स्विकल्पता"
2346,"अगति",1244,"गतिशीलता"
2347,"अगम्य",1247,"गम्य"
2348,"अप्रवेश्य",1248,"प्रवेश्य"
2351,"अज्ञेय",1254,"ज्ञेय"
2352,"अनुपलब्ध",1255,"उपलब्ध"
