synset_id,"synset_word",anto_action_id,"anto_action_word"
6,"अनागत",7,"आगत"
35,"अनाथ",39,"सनाथ"
158,"वैकल्पिक",193,"विकल्पहीन"
2315,"अक्षम्य",1192,"क्षम्य"
2579,"कामचोर",4147,"मेहनती"
172,"अपराधी",2932,"अनपराधी"
3467,"अँडुआ",4987,"बधिया"
3713,"अनागत",7,"आगत"
3750,"स्वीकार्य",5363,"अस्वीकार्य"
3750,"स्वीकरणीय",5363,"अस्वीकरणीय"
3750,"स्वीकार्य",547,"त्याज्य"
3750,"स्वीकरणीय",547,"त्याजनीय"
7,"आगत",3713,"अनागत"
329,"अनैच्छिक",349,"ऐच्छिक"
349,"ऐच्छिक",329,"अनैच्छिक"
365,"अहस्ताक्षरित",1948,"हस्ताक्षरित"
364,"सत्यापित",2643,"असत्यापित"
447,"अप्रवाहित",448,"प्रवाहित"
447,"प्रवाहहीन",448,"प्रवाहशील"
447,"ठहरा",448,"बहता"
447,"स्थिर",448,"गतिशील"
448,"प्रवाहित",447,"अप्रवाहित"
448,"बहता",447,"ठहरा"
448,"प्रवाहशील",447,"प्रवाहहीन"
448,"गतिशील",447,"स्थिर"
547,"त्याज्य",3750,"स्वीकार्य"
547,"त्याजनीय",3750,"स्वीकारणीय"
547,"परित्याज्य",3750,"अंगीकार्य"
1175,"देय",2685,"अदेय"
1175,"दाय",2685,"अदाय"
1192,"क्षम्य",2315,"अक्षम्य"
1229,"पदच्युत",1151,"पुनर्नियुक्त"
1229,"बरख़ास्त",1151,"बहाल"
1351,"विचारित",2437,"अविचारित"
1471,"शीघ्रकारी",2629,"विलंबकारी"
1655,"मंद",5118,"द्रुत"
1655,"धीमा",5118,"तेज़"
1801,"कथित",2816,"अकथित"
1805,"गढ़ा",1772,"अनगढ़ा"
1805,"आरूपित",1772,"अरूपित"
3556,"उदित",2682,"अस्तगत"
3863,"अपमानित",3861,"सम्मानित"
3863,"अनादृत",3861,"आदृत"
3861,"सम्मानित",3863,"अपमानित"
3861,"आदृत",3863,"अनादृत"
557,"स्वीकृत",3269,"अस्वीकृत"
557,"स्वीकृत",3269,"नामंजूर"
557,"अनुमति प्राप्त",3269,"अनुमति अप्राप्त"
1151,"बहाल",1229,"बरख़ास्त"
1151,"पुनर्नियुक्त",1229,"पदच्युत"
5118,"द्रुत",1655,"मंद"
5118,"तेज़",1655,"धीमा"
4987,"बधिया",3467,"अँडुआ"
5423,"ठिंगना",7100,"बड़ा"
5363,"अस्वीकार्य",3750,"स्वीकार्य"
5363,"अस्वीकरणीय",3750,"स्वीकरणीय"
25266,"भुक्त",25267,"अभुक्त"
8055,"शांतिपूर्ण",4577,"अशांतिपूर्ण"
10602,"दायाँवर्त",10616,"वामावर्त"
10616,"वामावर्त",10602,"दायाँवर्त"
10908,"घोषित",12279,"अघोषित"
11342,"आयातित",11347,"निर्यातित"
11347,"निर्यातित",11342,"आयातित"
12279,"अघोषित",10908,"घोषित"
6480,"नियंत्रित",11765,"अनियंत्रित"
11765,"अनियंत्रित",6480,"नियंत्रित"
13795,"अल्पव्ययी",1569,"अतिव्ययी"
16196,"दुखात्मक",16197,"सुखात्मक"
16196,"दुखांत",16197,"सुखांत"
16197,"सुखात्मक",16196,"दुखात्मक"
16197,"सुखांत",16196,"दुखांत"
16419,"अनिंदनीय",1368,"निंदनीय"
16419,"अनिन्दनीय",1368,"निन्दनीय"
17935,"अनैतिहासिक",3946,"ऐतिहासिक"
20662,"रोता",20663,"हँसता"
20662,"रोता हुआ",20663,"हँसता हुआ"
20663,"हँसता",20662,"रोता"
20663,"हँसता हुआ",20662,"रोता हुआ"
22153,"अपूजक",22155,"पूजक"
22881,"बिका हुआ",23563,"खरीदा हुआ"
22881,"बेचा हुआ",23563,"खरीदा हुआ"
22881,"विक्रीत",23563,"क्रीत"
23563,"खरीदा हुआ",22881,"बिका हुआ"
23563,"खरीदा",22881,"बेचा हुआ"
23563,"क्रीत",22881,"विक्रीत"
25267,"अभुक्त",25266,"भुक्त"
28617,"स्वास्थ्यकर",28618,"अस्वास्थ्यकर"
28617,"स्वास्थ्यवर्धक",28618,"अस्वास्थ्यवर्धक"
28617,"स्वास्थ्यवर्द्धक",28618,"अस्वास्थ्यवर्द्धक"
28618,"अस्वास्थ्यकर",28617,"स्वास्थ्यकर"
28618,"अस्वास्थ्यवर्धक",28617,"स्वास्थ्यवर्धक"
28618,"अस्वास्थ्यवर्द्धक",28617,"स्वास्थ्यवर्द्धक"
29061,"पाशित",3353,"मुक्त"
29331,"अमूक",4954,"मूक"
31913,"अवैदिक",8042,"वैदिक"
