synset_id,modifies_verb_id
52,3295
52,10794
2066,3295
2116,3295
2116,10794
2297,3295
2297,10794
2647,3295
2647,10794
2689,4115
2824,4116
2868,4115
3075,3295
3075,10794
53,3295
53,10794
373,10794
373,3295
374,3295
524,3295
526,3295
559,3295
595,3295
796,4300
796,3295
853,10794
5933,10794
896,3295
896,10794
1609,3295
1609,10794
1850,4115
1963,3195
1208,10794
1262,10794
1262,3295
1263,10794
1263,3295
1358,3295
2107,3295
2107,10794
2146,10794
2146,3295
2243,3295
2244,3295
1121,3295
1464,3756
1464,3295
2445,4300
2479,4116
1093,4116
2620,10794
2620,3295
2624,6807
2624,7663
892,10794
892,3295
2813,4116
2814,4116
929,7105
929,5349
2827,4116
2879,6439
3150,4115
3201,3295
3220,2270
3640,4918
3641,4918
3916,4115
4044,3295
4044,10794
4083,3295
4083,4918
4084,4918
4257,9192
4257,5330
4258,6439
4556,3295
4557,6237
4558,5367
4667,3295
4723,4655
4728,3295
4728,10794
4468,4300
855,3295
854,3295
833,3295
596,3295
594,3295
5487,3295
5486,3295
5537,3295
5609,3295
5609,10794
5673,5367
1241,6229
1737,3295
6088,591
4501,3295
857,3295
6274,10788
6364,10788
6364,10852
7161,3295
7161,246
7162,3295
7249,3295
7390,3295
8212,3295
7872,6229
6712,3295
6768,3295
7264,10794
7264,4115
7265,10794
7211,10794
7211,4115
7210,10794
7210,4115
9594,3295
9594,10794
9597,3295
9597,10794
9603,3295
9611,3295
8219,3295
9737,10794
9737,3295
9882,3295
9883,3295
9891,3295
8465,3295
8471,3295
8522,3295
8522,10794
8706,10794
8706,4115
10084,3295
10085,3295
10187,3295
10187,10794
10191,3295
10435,3295
10786,10794
10786,3295
10835,3295
10889,10794
10889,3295
10972,10794
10972,3295
11091,10794
11091,3295
11097,10794
11097,3295
11100,10794
11100,3295
11104,10794
11104,3295
11105,10794
11105,3295
11108,10794
11108,3295
11113,10794
11141,10794
11141,3295
11154,3295
11154,10794
11163,3295
11236,10794
11236,3295
11357,3295
11739,3295
11920,3295
11920,10794
11921,10794
11941,11837
12057,10794
12057,9582
12218,10794
12218,3295
12269,10794
12368,10794
12368,3295
3726,3295
10759,10794
10759,3295
12064,6229
12647,3295
9058,3295
9058,10794
9478,3295
9478,10794
2092,3295
2148,3295
13807,3295
13807,10794
13752,3295
13752,10794
8978,3295
8978,10794
8992,3295
8992,10794
9016,10794
9016,3295
12899,3295
12901,3295
12924,3295
12924,10794
13562,5835
13550,3295
13550,10794
13455,3295
13455,10794
13133,3295
13133,10794
13205,10794
13205,3295
13340,10794
13340,3295
13310,10794
13310,3295
13309,3295
13309,10794
9077,10794
9077,3295
9105,10794
9105,3295
13909,235
51,3295
51,10794
4663,3295
10980,4709
12314,3295
12315,3295
12316,3295
12317,3295
12317,10794
12649,10794
12649,3295
12650,3295
12650,10794
12672,10794
12676,246
10870,10794
10870,3295
10973,10794
10973,3295
10974,10794
10974,3295
10982,7389
9502,10794
11074,10794
11074,3295
11076,10794
11076,3295
4250,10794
4250,3295
11082,10794
11082,3295
11083,10794
11083,3295
11084,10794
11084,3295
11086,10794
11086,3295
11090,3295
11090,10794
11099,10794
11099,3295
11157,10794
11157,3295
11328,3295
11328,10794
10819,10794
10819,3295
10827,10794
10827,3295
10811,3295
10811,10794
8551,2917
8480,10794
11701,10794
11701,3295
11702,10794
11702,3295
11703,10794
11704,10794
11704,3295
13175,10794
13175,3295
13176,3295
13176,10794
13178,10794
8861,10794
8861,3295
5766,10794
5766,3295
6621,10794
6621,3295
6468,10794
6468,3295
10797,10794
10797,3295
14108,3295
14108,10794
14109,3295
14109,10794
14421,10794
14421,3295
14619,10794
14619,3295
14680,3295
14680,10794
14752,3295
14816,10794
14816,3295
14824,10794
14824,3295
14991,10794
14991,3295
15437,3295
15437,13028
15437,10794
15496,10795
15496,3295
15623,10794
15623,3295
15675,10794
15675,3295
16207,3295
16207,10794
16211,3295
16211,10794
6458,10794
6458,3295
17007,3295
17007,10794
17008,3295
17008,10794
12705,3295
12705,10794
13474,10794
13474,3295
17290,10794
17290,3295
123,10794
123,3295
17370,10794
17370,3295
17931,3295
17931,10794
17945,3295
17945,10794
18059,3295
18060,3295
18060,10794
18100,3295
18100,10794
18939,3432
18939,10788
18972,591
19130,3295
19130,12149
19203,10794
19203,3295
19209,3295
19292,3295
19292,10794
19562,10794
19562,3295
19572,3295
19572,10794
19588,3295
20249,3295
20249,10794
20250,3295
20250,10794
20703,10794
20897,10794
20897,3295
20898,3295
20898,10794
21097,3295
21097,10794
21460,3295
21986,3295
21986,10794
21988,3295
21988,10794
21989,3295
21989,10794
21990,9172
21991,3295
21991,10794
22150,3295
22150,10794
22158,10794
22207,3295
22207,10794
22208,3295
22208,10794
22209,3295
22209,10794
22210,3295
22210,10794
22211,3295
22211,10794
22212,3295
22212,10794
22928,3295
22928,10794
22931,3295
22931,10794
22932,3295
22932,10794
22933,3295
22933,10794
22937,3295
22937,10794
22938,3295
22938,10794
22939,3295
22939,10794
22940,3295
22940,10794
22941,3295
22941,10794
22955,10794
22955,3295
23026,3295
23026,10794
23236,3295
23236,10794
23755,10794
23771,3295
23771,10794
23772,10794
23772,3295
23773,3295
23773,10794
23775,10794
23775,3295
23778,10794
23778,3295
23786,10794
23786,3295
24222,10794
24222,3295
24238,246
24384,10794
24384,3295
24504,3295
24589,10794
24589,3295
