synset_id,entailment_id
236,4895
238,235
240,235
3033,3653
2534,3105
2152,6237
4237,4300
3448,4300
4251,5333
4757,6283
5433,6229
5383,4655
5382,5510
7325,6235
8502,8500
8911,5524
10300,4300
11520,4748
11885,11183
5871,10844
8948,5344
13093,9978
13095,13099
13199,6411
9485,11591
9630,591
9479,5367
9454,9900
9938,11465
9406,12739
13891,6229
9134,11591
12774,11846
9198,591
10765,4755
9243,5344
5343,8990
5376,12470
5068,4709
5070,4709
5107,4858
11519,4748
4727,5926
12173,3756
12176,7643
12180,11923
5129,6283
12184,5212
12005,5367
12681,3756
12682,3756
12684,3756
7302,245
12320,7578
12593,10788
12595,12605
12596,12624
12603,4727
11021,9900
9552,6283
9559,7663
9751,11571
9969,12069
11174,30102
10155,5765
11189,11571
11425,8809
11426,8809
10689,3666
11467,3576
10790,4709
11551,7862
7091,7862
11571,9192
8540,3437
11576,4699
8520,8949
8493,6233
8493,4327
11592,4858
11617,9900
8428,9560
10776,4327
11726,6229
11727,6229
11728,11482
11750,11751
8303,7106
5600,11571
8320,6158
8371,5350
11878,10788
8973,11964
8628,7120
8697,8956
8698,8697
11631,1377
11652,12680
12206,12470
8775,6283
8791,11571
13032,4732
8825,11465
6343,245
8888,5863
8914,11465
6595,12470
6596,12470
5696,11598
5697,11598
5144,11257
5769,9900
5787,4300
6862,3756
8541,9346
7645,9900
12736,10860
7893,11257
7898,9346
6863,3756
6058,6283
7045,4300
7389,10844
3438,4709
7345,10844
4930,6283
7220,2048
5709,6283
5712,7125
7344,6235
13039,7046
13040,5418
5142,3756
14100,9900
14106,8948
14548,13877
14782,13881
14875,9900
15399,11571
15886,9900
15888,6096
15890,6096
15983,5353
16377,16376
17156,4699
17213,591
18150,18149
18869,9900
18890,4604
19122,9560
19123,4733
23439,3756
31382,2970
