synset_id,"synset_word",anto_action_id,"anto_action_word"
57,"उद्घाटन",721,"समापन"
59,"रहस्योद्घाटन",2466,"रहस्य गोपन"
63,"अनुकूलता",74,"प्रतिकूलता"
66,"सामंजस्य",2849,"असामंजस्य"
66,"तालमेल",2849,"अनमेल"
134,"धर्म कर्म",184,"अधर्म कर्म"
141,"विचारण",1104,"अविचारण"
1842,"सद्व्यवहार",2857,"दुर्व्यवहार"
1842,"सदाचार",2857,"दुराचार"
1842,"सुव्यवहार",2857,"कुव्यवहार"
1842,"सदाचार",2857,"अनाचार"
1842,"सदाचरण",2857,"दुराचरण"
1842,"सदाचरण",2857,"अनाचरण"
1842,"सदाचार",2857,"कदाचार"
1617,"प्राकृतिक प्रक्रिया",1618,"अप्राकृतिक प्रक्रिया"
1618,"अप्राकृतिक प्रक्रिया",1617,"प्राकृतिक प्रक्रिया"
2034,"कार्य समाप्ति",133,"कार्यारम्भ"
2173,"कुशासन",1010,"सुशासन"
2176,"आकाश",889,"पाताल"
2245,"दुष्कर्म",9,"सत्कर्म"
2466,"रहस्य गोपन",59,"रहस्योद्घाटन"
2606,"नियम भंजन",1567,"नियम पालन"
2610,"सीमातिक्रमण",1571,"अनतिक्रमण"
2615,"कटु भाषण",1094,"मिष्ट भाषण"
2615,"कुभाषण",1094,"सुभाषण"
2660,"रक्त आदान",76,"रक्त दान"
2716,"पाप",1681,"पुण्य"
2716,"अधर्म",1681,"धर्म"
2857,"दुर्व्यवहार",1842,"सद्व्यवहार"
2857,"दुराचार",1842,"सदाचार"
2857,"कुव्यवहार",1842,"सुव्यवहार"
2857,"अनाचार",1842,"सदाचार"
2857,"दुराचरण",1842,"सदाचरण"
2857,"अनाचरण",1842,"सदाचरण"
2857,"कदाचार",1842,"सदाचार"
2996,"अभिमान",2654,"अनभिमान"
3008,"शाप",581,"वरदान"
3008,"अभिशाप",581,"वर"
3008,"श्राप",581,"वरदान"
3258,"अंत",151,"आरंभ"
3277,"नुकसान",2751,"नफा"
3277,"हानि",2751,"लाभ"
3544,"आर्य जाति",3670,"अनार्य जाति"
3610,"स्वावलंबन",2684,"परावलंबन"
18,"दुष्कर्म",9,"सत्कर्म"
18,"बुरा कर्म",9,"अच्छा कर्म"
18,"अनैतिक कार्य",9,"नैतिक कर्म"
9,"सत्कर्म",18,"दुष्कर्म"
9,"अच्छा कर्म",18,"बुरा कर्म"
9,"नैतिक कर्म",18,"अनैतिक कार्य"
46,"सम्मान",44,"अपमान"
76,"रक्त दान",2660,"रक्त आदान"
77,"असंगतता",65,"संगतता"
176,"असंज्ञेय अपराध",3032,"संज्ञेय अपराध"
184,"अधर्म कर्म",134,"धर्म कर्म"
279,"ईश्वर प्रेम",3254,"मानव प्रेम"
305,"ह्रस्व स्वर",306,"दीर्घ स्वर"
313,"जोड़ कर्म",314,"घटान कर्म"
314,"घटान कर्म",313,"जोड़ कर्म"
315,"गुणन कर्म",316,"भाग कर्म"
315,"गुणा",316,"भाग"
316,"भाग कर्म",315,"गुणन कर्म"
316,"भाग",315,"गुणा"
375,"उत्थान",3097,"पतन"
721,"समापन",67,"शुरुआत"
901,"निष्काम कर्म",902,"सकाम कर्म"
902,"सकाम कर्म",901,"निष्काम कर्म"
1104,"अविचारण",141,"विचारण"
1286,"सामाजिक कार्य",1281,"असामाजिक कार्य"
1281,"असामाजिक कार्य",1286,"सामाजिक कार्य"
1319,"जैविक प्रक्रिया",1320,"अजैविक प्रक्रिया"
1320,"अजैविक प्रक्रिया",1319,"जैविक प्रक्रिया"
1567,"नियम पालन",2606,"नियम भंजन"
1570,"अतिक्रमण",1571,"अनतिक्रमण"
1571,"अनतिक्रमण",1570,"अतिक्रमण"
1154,"अकंपन",2275,"कंपन"
1780,"गमन",3116,"आगमन"
3116,"आगमन",1780,"गमन"
3116,"आगमन",1780,"प्रस्थान"
1786,"परिश्रम",3537,"विश्राम"
2895,"अशुभ समाचार",2894,"शुभ समाचार"
2895,"कुसमाचार",2894,"सुसमाचार"
2895,"कुसंवाद",2894,"सुसंवाद"
2895,"बुरी ख़बर",2894,"अच्छी ख़बर"
2895,"दुखद समाचार",2894,"सुखद समाचार"
2895,"दुखख़बरी",2894,"ख़ुशख़बरी"
2895,"अशुभ संदेश",2894,"शुभ संदेश"
2895,"अमंगल-समाचार",2894,"मंगल-समाचार"
1094,"मिष्ट भाषण",2615,"कटु भाषण"
3032,"संज्ञेय अपराध",176,"असंज्ञेय अपराध"
3032,"बोधगम्य अपराध",176,"अबोधगम्य अपराध"
3115,"अवरोहण",8252,"आरोहण"
2684,"परावलंबन",3610,"स्वावलंबन"
1694,"प्रदान",3344,"ग्रहण"
1694,"प्रदान",3344,"आदान"
2894,"सुसमाचार",2895,"कुसमाचार"
2894,"अच्छी ख़बर",2895,"बुरी ख़बर"
2894,"ख़ुशख़बरी",2895,"दुखख़बरी"
2894,"शुभ संदेश",2895,"अशुभ संदेश"
2894,"शुभ समाचार",2895,"अशुभ समाचार"
2894,"सुसंवाद",2895,"कुसंवाद"
2894,"मंगल-समाचार",2895,"अमंगल-समाचार"
2894,"सुखद समाचार",2895,"दुखद समाचार"
3344,"ग्रहण",1694,"प्रदान"
3418,"पदोन्नति",3137,"पदावनति"
3274,"उपकार",3277,"अपकार"
4109,"कठिन कार्य",4747,"आसान कार्य"
4109,"दुष्कर कार्य",4747,"सहज कार्य"
4172,"सुरक्षा",15515,"असुरक्षा"
4172,"हिफ़ाज़त",15515,"ग़ैरहिफ़ाज़त"
4172,"हिफाजत",15515,"गैरहिफाजत"
4559,"क्रय",7268,"विक्रय"
4559,"खरीदी",7268,"बिक्री"
4747,"सहज कार्य",4109,"दुष्कर कार्य"
4747,"आसान कार्य",4109,"कठिन कार्य"
4747,"आसान काम",4109,"कठिन काम"
5619,"हाँ",7510,"ना"
5619,"जी",7510,"जी नहीं"
5619,"जी हाँ",7510,"जी नहीं"
6196,"दुश्चिंतन",11049,"सुचिंतन"
6252,"दुखद समाचार",6341,"सुखद समाचार"
6341,"सुखद समाचार",6252,"दुखद समाचार"
6521,"निर्यात",10461,"आयात"
7510,"नहीं",5619,"हाँ"
7510,"ना",5619,"हाँ"
7510,"जी नहीं",5619,"जी हाँ"
7405,"भाटा",3785,"ज्वार"
3785,"ज्वार",7405,"भाटा"
8042,"शयन",11452,"जागरण"
8042,"सोना",11452,"जागना"
8722,"चंद्र ग्रहण",8730,"सूर्य ग्रहण"
8730,"सूर्य ग्रहण",8722,"चंद्र ग्रहण"
10306,"स्वीकार",18353,"अस्वीकार"
10306,"मंजूर",18353,"नामंजूर"
10306,"इक़बाल",18353,"इनकार"
10306,"इकबाल",18353,"इन्कार"
10461,"आयात",6521,"निर्यात"
10784,"अल्पव्यय",2522,"अपव्यय"
11711,"सख़्ती",7983,"नरमी"
11711,"कठोरता",7983,"नम्रता"
12060,"अनैच्छिक क्रिया",12574,"ऐच्छिक क्रिया"
12574,"ऐच्छिक क्रिया",12060,"अनैच्छिक क्रिया"
12115,"सूर्यास्त",10264,"सूर्योदय"
7518,"सहयोग",32240,"असहयोग"
7518,"सहभाग",32240,"असहभाग"
7518,"सहयोगिता",32240,"असहयोगिता"
7518,"सहकारिता",32240,"असहकारिता"
8999,"तांडव",13558,"लास्य"
8999,"तांडव नृत्य",13558,"लास्य नृत्य"
13558,"लास्य",8999,"तांडव"
13558,"लास्य नृत्य",8999,"तांडव नृत्य"
3388,"प्रवीणता",2655,"अप्रवीणता"
3388,"कुशलता",2655,"अकुशलता"
3388,"दक्षता",2655,"अदक्षता"
3388,"निपुणता",2655,"अनिपुणता"
9291,"निश्वास",13930,"श्वास"
13930,"श्वास",9291,"प्रश्वास"
78,"मिलन",12886,"जुदाई"
7983,"नम्रता",11711,"कठोरता"
7983,"नरमी",11711,"सख़्ती"
7983,"नरमाई",11711,"कड़ाई"
10264,"सूर्योदय",12115,"सूर्यास्त"
16274,"अनपकार",3277,"अपकार"
17676,"अनुलोमविवाह",21942,"प्रतिलोमविवाह"
17676,"अनुलोम-विवाह",21942,"प्रतिलोम-विवाह"
17676,"अनुलोम विवाह",21942,"प्रतिलोम विवाह"
18353,"अस्वीकार",10306,"स्वीकार"
18353,"नामंजूर",10306,"मंजूर"
18353,"इनकार",10306,"इक़बाल"
18353,"इन्कार",10306,"इकबाल"
21942,"प्रतिलोमविवाह",17676,"अनुलोमविवाह"
21942,"प्रतिलोम-विवाह",17676,"अनुलोम-विवाह"
21942,"प्रतिलोम विवाह",17676,"अनुलोम विवाह"
24368,"कुलबोरन",24369,"कुलतारन"
25143,"सत्संग",32271,"कुसंग"
25143,"सत्संग",32271,"असत्संग"
28667,"गीदड़",40,"गीदड़ी"
28667,"सियार",40,"सियारिन"
28667,"शृगाल",40,"शृगाली"
28667,"जंबुक",40,"जंबुकी"
28667,"जम्बुक",40,"जम्बुकी"
28667,"लोपापक",40,"लोपापिका"
28925,"उत्तरायण",28932,"दक्षिणायन"
28932,"दक्षिणायन",28925,"उत्तरायण"
28939,"दक्षिणमार्ग",28944,"वाममार्ग"
28944,"वाममार्ग",28939,"दक्षिणमार्ग"
29323,"अमुक्ति",3818,"मुक्ति"
31105,"अलंघन",31109,"लंघन"
31105,"अलङ्घन",31109,"लङ्घन"
